Stop_Signs
STREET,X_STREET,DIRECTION,ST_FACING,DIST,CNN,CONCATENAT,MTAB_DATE,MTAB_RESO_TEXT,MTAB_MOTION,STATUS,WORKORDER,INSTALL_DATE,shape,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
GRAYSTONE,VILLA,SW,EB,,26192000,GRAYSTONE TER & VILLA TER,,,,,,,POINT (-122.44588 37.757336),47,47,7,5,5
PALO ALTO,MARVIEW,,WB,,53064000,,,,,,,,POINT (-122.45037 37.756744),47,47,7,8,38
TWIN PEAKS,CLARENDON,NE,WB,,26260000,TWIN PEAKS BLVD & CLARENDON AVE,,,,I,,,POINT (-122.448524 37.75904),47,47,7,5,14
GRAYSTONE,CORBETT,W,EB,,26108000,GRAYSTONE TER & CORBETT AVE,20170606000000,,170606-067,,,,POINT (-122.44326 37.75623),47,47,7,5,38
BURNETT,GARDENSIDE,,NB,,26124000,BURNETT AND GARDENSIDE,,,,,,,POINT (-122.44421 37.755577),47,47,7,5,38
CLARENDON,TWIN PEAKS,SW,EB,0,26260000,CLARENDON & TWIN PEAKS,,,,,,,POINT (-122.448524 37.75904),47,47,7,5,14
CORBETT,CLAYTON,SE,NB,0,26193000,CORBETT & CLAYTON,,,,,,,POINT (-122.44601 37.758717),47,47,7,5,5
RACCOON,TWIN PEAKS,NE,WB,,32952000,RACCOON DR & TWIN PEAKS BLVD,20201002000000,,6307,I,21-02594,20210812000000,POINT (-122.448166 37.757847),47,47,7,5,14
GALEWOOD,CLARENDON,NW,SB,0,33572000,GALEWOOD & CLARENDON,,,,,,,POINT (-122.456 37.752354),48,48,7,8,38
PANORAMA,DELLBROOK,NE,WB,0,26246000,PANORAMA & DELLBROOK,,,,,,,POINT (-122.45256 37.753536),48,48,7,8,38
OLYMPIA,CLARENDON,NE,WB,0,26242000,OLYMPIA & CLARENDON,,,,,,,POINT (-122.456436 37.75148),48,48,7,8,38
PORTOLA,GLENVIEW,SW,EB,,22413000,PORTOLA & GLENVIEW,,,,,,,POINT (-122.44786 37.74691),48,48,7,5,38
PANORAMA,OLYMPIA,SE,NB,0,26237000,PANORAMA & OLYMPIA,,,,,,,POINT (-122.45212 37.751232),48,48,7,8,38
GLENVIEW,DAWNVIEW,NW,SB,,22348000,GLENVIEW DR & DAWNVIEW WY,20160507000000,,16-060,,,,POINT (-122.44763 37.748066),48,48,7,5,38
PANORAMA,MARVIEW,SE,NB,0,26231000,PANORAMA & MARVIEW,,,,,,,POINT (-122.4507 37.753613),48,48,7,8,38
DELLBROOK,OLYMPIA,NW,SB,,26240000,DELLBROOK AVE & OLYMPIA WY,,,,I,,,POINT (-122.45292 37.75121),48,48,7,8,38
GLENVIEW,DAWNVIEW,SW,NB,,22348000,GLENVIEW DR & DAWNVIEW WY,20160507000000,,16-060,,,,POINT (-122.44763 37.748066),48,48,7,5,38
OLYMPIA,PANORAMA,,EB,,26237000,OLYMPIA & PANORAMA,,,,,,,POINT (-122.45212 37.751232),48,48,7,8,38
PANORAMA,OLYMPIA,NW,SB,0,26237000,PANORAMA & OLYMPIA,,,,,,,POINT (-122.45212 37.751232),48,48,7,8,38
STARVIEW,PANORAMA,NE,WB,,26235000,STARVIEW WY & PANORAMA DR,20160405000000,,16-036,I,,,POINT (-122.45211 37.749348),48,48,7,8,38
DELLBROOK,OLYMPIA,SE,NB,,26240000,DELLBROOK AVE & OLYMPIA WY,,,,I,,,POINT (-122.45292 37.75121),48,48,7,8,38
PORTOLA,GLENVIEW,NE,WB,,22413000,PORTOLA & GLENVIEW,,,,,,,POINT (-122.44786 37.74691),48,48,7,5,38
PANORAMA,MARVIEW,NW,SB,0,26231000,PANORAMA & MARVIEW,,,,,,,POINT (-122.4507 37.753613),48,48,7,8,38
PANORAMA,DELLBROOK,SW,EB,0,26246000,PANORAMA & DELLBROOK,,,,,,,POINT (-122.45256 37.753536),48,48,7,8,38
STARVIEW,PANORAMA,SE,NB,,26239000,STARVIEW WY & PANORAMA DR,20160405000000,,16-036,I,,,POINT (-122.451675 37.752293),48,48,7,8,38
OLYMPIA,DELLBROOK,SW,EB,,26240000,OLYMPIA WY & DELLBROOK AVE,,,,I,,,POINT (-122.45292 37.75121),48,48,7,8,38
DELLBROOK,PANORAMA,SE,NB,0,26246000,DELLBROOK AVE & PANORAMA DR,,,,,,,POINT (-122.45256 37.753536),48,48,7,8,38
OLYMPIA,DELLBROOK,NE,WB,,26240000,OLYMPIA WY & DELLBROOK AVE,,,,I,,,POINT (-122.45292 37.75121),48,48,7,8,38
MARVIEW,PANORAMA,NE,WB,0,26231000,MARVIEW & PANORAMA,,,,,,,POINT (-122.4507 37.753613),48,48,7,8,38
DELLBROOK,PANORAMA,NW,SB,0,26246000,DELLBROOK AVE & PANORAMA DR,,,,,,,POINT (-122.45256 37.753536),48,48,7,8,38
DAWNVIEW,GLENVIEW,NE,WB,,22348000,DAWNVIEW WY & GLENVIEW DR,20160507000000,,16-060,,,,POINT (-122.44763 37.748066),48,48,7,5,38
DELLBROOK,OLYMPIA,SE,NB,,26241000,DELLBROOK AVE & OLYMPIA WY,20160920000000,,16-127,,,,POINT (-122.45438 37.751274),48,48,7,8,38
WAITHMAN,ULLOA,NE,WB,0,22839000,WAITHMAN & ULLOA,,,,,,,POINT (-122.456764 37.742146),49,49,10,8,41
ROCKWOOD,ROCKAWAY,SE,NB,0,22843000,ROCKWOOD CT & ROCKAWAY AVE,20210730000000,,6441,L,,,POINT (-122.45695 37.743366),49,49,10,8,41
KENSINGTON WY,ULLOA,NW,SB,0,22847000,KENSINGTON WY & ULLOA,,,,,,,POINT (-122.45982 37.741055),49,49,10,8,41
MERCED,GARCIA,SE,NB,0,22880000,MERCED & GARCIA,,,,,,,POINT (-122.46125 37.744633),49,49,10,8,41
ULLOA,CLAREMONT,SW,EB,0,22875000,ULLOA ST & CLAREMONT,,,,,,,POINT (-122.46502 37.740646),49,49,10,8,41
VASQUEZ,WOODSIDE,SE,NB,,22862000,VASQUEZ AVE & WOODSIDE AVE,20170103000000,,170103-002,I,,,POINT (-122.45715 37.746693),49,49,7,8,41
DORCHESTER,ULLOA,NW,SB,0,22873000,DORCHESTER & ULLOA,,,,,,,POINT (-122.462746 37.74077),49,49,10,8,41
ULLOA,DORCHESTER,NE,WB,0,22873000,ULLOA ST & DORCHESTER,,,,,,,POINT (-122.462746 37.74077),49,49,10,8,41
ULLOA,WOODSIDE,SE,NB,,22444000,ULLOA ST & WOODSIDE,,,,,,,POINT (-122.4539 37.745693),49,49,7,8,41
HERNANDEZ,MERCED,SE,NB,,22864000,HERNANDEZ & MERCED,,,,,,,POINT (-122.4602 37.745453),49,49,10,8,41
MERCED,KENSINGTON,SE,NB,0,22881000,MERCED & KENSINGTON,,,,,,,POINT (-122.462845 37.743378),49,49,10,8,41
VASQUEZ,HERNANDEZ,SE,NB,,22854000,VASQUEZ & HERNANDEZ,,,,,,,POINT (-122.4592 37.745266),49,49,10,8,41
KENSINGTON WY,MERCED,,WB,,22881000,KENSINGTON WY & MERCED,,,,,,,POINT (-122.462845 37.743378),49,49,10,8,41
ULLOA,CLAREMONT,NE,WB,0,22875000,ULLOA ST & CLAREMONT,,,,,,,POINT (-122.46502 37.740646),49,49,10,8,41
IDORA,LAGUNA HONDA,NE,WB,,22841000,IDORA & LAGUNA HONDA,,,,,,,POINT (-122.45651 37.744053),49,49,7,8,41
HERNANDEZ,VASQUEZ,SW,EB,0,22854000,HERNANDEZ & VASQUEZ,,,,,,,POINT (-122.4592 37.745266),49,49,10,8,41
ULLOA,DORCHESTER,SW,EB,0,22873000,ULLOA ST & DORCHESTER,,,,,,,POINT (-122.462746 37.74077),49,49,10,8,41
GARCIA,VASQUEZ,NW,SB,,22883000,GARCIA & VASQUEZ,,,,,,,POINT (-122.46102 37.74383),49,49,10,8,41
BALCETA,VASQUEZ,NE,WB,,22860000,BALCETA & VASQUEZ,,,,,,,POINT (-122.45864 37.745705),49,49,10,8,41
KENSINGTON WY,ULLOA,SE,NB,0,22847000,KENSINGTON WY & ULLOA,,,,,,,POINT (-122.45982 37.741055),49,49,10,8,41
CLAREMONT,TARAVAL,SE,NB,0,22882000,CLAREMONT & TARAVAL,,,,,,,POINT (-122.46368 37.743744),49,49,10,8,41
MERCED,HERNANDEZ,SE,NB,0,22864000,MERCED & HERNANDEZ,,,,,,,POINT (-122.4602 37.745453),49,49,10,8,41
IDORA,LAGUNA HONDA,SW,EB,,22841000,IDORA & LAGUNA HONDA,,,,,,,POINT (-122.45651 37.744053),49,49,7,8,41
GRANVILLE,CLAREMONT,SE,NB,0,22878000,GRANVILLE & CLAREMONT,,,,,,,POINT (-122.46379 37.742924),49,49,10,8,41
GARCIA,MERCED,SE,NB,0,22880000,GARCIA & MERCED,,,,,,,POINT (-122.46125 37.744633),49,49,10,8,41
MONTALVO,TARAVAL,SE,SB,0,22882000,MONTALVO & TARAVAL,,,,,,,POINT (-122.46368 37.743744),49,49,10,8,41
CLAREMONT,ULLOA,SE,NB,0,22875000,CLAREMONT & ULLOA,,,,,,,POINT (-122.46502 37.740646),49,49,10,8,41
DEWEY,PACHECO,NW,SB,0,22886000,DEWEY & PACHECO,,,,,,,POINT (-122.461365 37.745564),49,49,10,8,41
CLAREMONT,ULLOA,NW,SB,0,22875000,CLAREMONT & ULLOA,,,,,,,POINT (-122.46502 37.740646),49,49,10,8,41
DORCHESTER,CLAREMONT,NE,WB,,22957000,DORCHESTER & CLAREMONT,,,,,,,POINT (-122.46429 37.74162),49,49,10,8,41
PACHECO,DEWEY,NW,SB,0,22886000,PACHECO ST & DEWEY,,,,I,,,POINT (-122.461365 37.745564),49,49,10,8,41
ULLOA,WAITHMAN,SE,NB,0,22839000,ULLOA ST & WAITHMAN,,,,,,,POINT (-122.456764 37.742146),49,49,10,8,41
LAGUNA HONDA BLVD,PLAZA,SW,EB,,22867000,LAGUNA HONDA BLVD & PLAZA,,,,,,,POINT (-122.45961 37.748936),49,49,7,8,41
PACHECO,MERCED,NW,SB,,22885000,PACHECO ST & MERCED AVE,20150303000000,,15-023,I,,,POINT (-122.46072 37.74505),49,49,10,8,41
DEWEY,MONTALVO,NE,WB,0,22882000,DEWEY & MONTALVO,,,,,,,POINT (-122.46368 37.743744),49,49,10,8,41
GARCIA,VASQUEZ,SE,NB,,22883000,GARCIA & VASQUEZ,,,,,,,POINT (-122.46102 37.74383),49,49,10,8,41
VASQUEZ,GARCIA,NW,SB,,22883000,VASQUEZ & GARCIA,,,,,,,POINT (-122.46102 37.74383),49,49,10,8,41
KENSINGTON WY,MERCED,NE,WB,,22881000,KENSINGTON WY & MERCED,,,,,,,POINT (-122.462845 37.743378),49,49,10,8,41
KENSINGTON WY,MERCED,,EB,,22881000,KENSINGTON WY & MERCED,,,,,,,POINT (-122.462845 37.743378),49,49,10,8,41
DEWEY,PACHECO,SE,NB,,22886000,DEWEY & PACHECO,,,,,,,POINT (-122.461365 37.745564),49,49,10,8,41
GARCIA,HERNANDEZ,SE,NB,,22854000,GARCIA & HERNANDEZ,,,,,,,POINT (-122.4592 37.745266),49,49,10,8,41
MERCED,KENSINGTON,NW,SB,,22881000,MERCED & KENSINGTON,,,,,,,POINT (-122.462845 37.743378),49,49,10,8,41
LAGUNA HONDA BLVD,ROCKAWAY,SW,EB,0,22445000,LAGUNA HONDA BLVD & ROCKAWAY,,,,,,,POINT (-122.455894 37.743477),49,49,7,8,41
VASQUEZ,HERNANDEZ,NW,SB,,22854000,VASQUEZ & HERNANDEZ,,,,,,,POINT (-122.4592 37.745266),49,49,10,8,41
TARAVAL,CLAREMONT,SW,EB,0,22882000,TARAVAL & CLAREMONT,,,,,,,POINT (-122.46368 37.743744),49,49,10,8,41
ULLOA,WAITHMAN,SW,EB,0,22839000,ULLOA ST & WAITHMAN,,,,,,,POINT (-122.456764 37.742146),49,49,10,8,41
ULLOA,KENSINGTON,SW,EB,0,22847000,ULLOA ST & KENSINGTON,,,,,,,POINT (-122.45982 37.741055),49,49,10,8,41
VASQUEZ,LAGUNA HONDA,NE,WB,,22857000,VASQUEZ AVE & LAGUNA HONDA BLVD,,,,I,,,POINT (-122.4579 37.74583),49,49,7,8,41
VASQUEZ,GARCIA,SE,NB,,22883000,VASQUEZ & GARCIA,,,,,,,POINT (-122.46102 37.74383),49,49,10,8,41
ROCKAWAY,LAGUNA HONDA,SW,EB,0,22445000,ROCKAWAY & LAGUNA HONDA,,,,,,,POINT (-122.455894 37.743477),49,49,7,8,41
MERCED,HERNANDEZ,NW,SB,0,22864000,MERCED & HERNANDEZ,,,,,,,POINT (-122.4602 37.745453),49,49,10,8,41
KENSINGTON WY,DEWEY,SE,NB,,22882000,KENSINGTON WY & DEWEY,,,,,,,POINT (-122.46368 37.743744),49,49,10,8,41
SYDNEY,ULLOA,NE,WB,,22443000,SYDNEY WY & ULLOA ST,20171121000000,,171121-143,I,,,POINT (-122.454506 37.744755),49,49,7,8,41
BALCETA,LAGUNA HONDA,SW,EB,,22856000,BALCETA & LAGUNA HONDA,,,,,,,POINT (-122.45738 37.745487),49,49,7,8,41
PLAZA,LAGUNA HONDA,SW,EB,0,22867000,PLAZA & LAGUNA HONDA,,,,,,,POINT (-122.45961 37.748936),49,49,7,8,41
LAGUNA HONDA BLVD,ULLOA,NE,WB,0,22445000,LAGUNA HONDA BLVD & ULLOA,,,,,,,POINT (-122.455894 37.743477),49,49,7,8,41
HERNANDEZ,LAGUNA HONDA,NE,WB,,22844000,HERNANDEZ & LAGUNA HONDA,,,,,,,POINT (-122.45683 37.744804),49,49,7,8,41
ULLOA,LAGUNA HONDA,SE,NB,0,22445000,ULLOA ST & LAGUNA HONDA,,,,,,,POINT (-122.455894 37.743477),49,49,7,8,41
ULLOA,LAGUNA HONDA,NW,SB,0,22445000,ULLOA ST & LAGUNA HONDA,,,,,,,POINT (-122.455894 37.743477),49,49,7,8,41
HERNANDEZ,VASQUEZ,NE,WB,0,22854000,HERNANDEZ & VASQUEZ,,,,,,,POINT (-122.4592 37.745266),49,49,10,8,41
ALLSTON,CLAREMONT,NE,WB,0,22958000,ALLSTON & CLAREMONT,,,,,,,POINT (-122.46394 37.742256),49,49,10,8,41
PACHECO,DEWEY,SE,NB,0,22886000,PACHECO ST & DEWEY BLVD,,,,I,,,POINT (-122.461365 37.745564),49,49,10,8,41
MERCED,LAGUNA HONDA,SE,NB,0,22861000,MERCED & LAGUNA HONDA,,,,,,,POINT (-122.45868 37.74664),49,49,7,8,41
BALCETA,LAGUNA HONDA,NE,WB,,22856000,BALCETA & LAGUNA HONDA,,,,,,,POINT (-122.45738 37.745487),49,49,7,8,41
VASQUEZ,LAGUNA HONDA,SW,EB,,22859000,VASQUEZ & LAGUNA HONDA,,,,,,,POINT (-122.45827 37.74624),49,49,7,8,41
HERNANDEZ,LAGUNA HONDA,SW,EB,,22844000,HERNANDEZ & LAGUNA HONDA,,,,,,,POINT (-122.45683 37.744804),49,49,7,8,41
DORCHESTER,ULLOA,SE,NB,0,22873000,DORCHESTER & ULLOA,,,,,,,POINT (-122.462746 37.74077),49,49,10,8,41
OPHIR,POST,NW,SB,0,24964000,OPHIR & POST,,,,,,,POINT (-122.41272 37.787735),50,50,6,3,36
SHANNON,POST,SE,NB,0,30053000,SHANNON & POST,,,,,,,POINT (-122.41252 37.78776),50,50,6,3,36
CEDAR,POLK,SW,EB,0,25199000,CEDAR ST & POLK ST,,,,I,,,POINT (-122.41982 37.786354),50,50,4,10,36
CEDAR,LARKIN,SW,EB,0,25172000,CEDAR & LARKIN,,,,,,,POINT (-122.41817 37.78656),50,50,6,10,36
FRANK NORRIS,POLK,NE,WB,,25211000,FRANK NORRIS ST & POLK ST,,,,,,,POINT (-122.42039 37.78916),50,50,4,3,21
HEMLOCK,LARKIN,SW,EB,0,25173000,HEMLOCK & LARKIN,,,,,,,POINT (-122.41835 37.787483),50,50,6,3,21
MEACHAM,POST,SE,NB,0,25168000,MEACHAM & POST,,,,,,,POINT (-122.41698 37.787197),50,50,6,10,36
FERN,POLK,SW,EB,0,25209000,FERN & POLK,,,,,,,POINT (-122.4202 37.78822),50,50,4,3,21
AUSTIN,POLK ST,SW,EB,0,25211000,AUSTIN ST & POLK ST,,,,,,,POINT (-122.42039 37.78916),50,50,4,3,21
CEDAR,POLK,NE,WB,,25199000,CEDAR ST & POLK ST,,,,I,18-6967,20190103000000,POINT (-122.41982 37.786354),50,50,4,10,36
FERN,LARKIN,SW,EB,0,25203000,FERN & LARKIN,,,,,,,POINT (-122.41855 37.78843),50,50,6,3,21
HEMLOCK,POLK,SW,EB,,25201000,HEMLOCK & POLK,,,,,,,POINT (-122.420006 37.787273),50,50,4,3,21
GARDENSIDE,BURNETT,NW,SB,0,26118000,GARDENSIDE & BURNETT,,,,,,,POINT (-122.44525 37.75093),51,51,7,5,38
24TH ST,HOFFMAN,,WB,,26083000,,,,,,,,POINT (-122.440605 37.750896),51,51,3,5,22
HOFFMAN,22ND ST,SE,NB,0,26099000,HOFFMAN & 22ND ST,,,,,,,POINT (-122.44092 37.754097),51,51,3,5,22
HOFFMAN,ALVARADO,NW,SB,0,26098000,HOFFMAN & ALVARADO,,,,,,,POINT (-122.44084 37.7533),51,51,3,5,22
25TH ST,HOFFMAN,NE,WB,,26082000,25TH ST & HOFFMAN,,,,,,,POINT (-122.440445 37.749294),51,51,3,5,22
24TH ST,FOUNTAIN,NE,WB,,26086000,24TH ST & FOUNTAIN ST,,,,,,,POINT (-122.44167 37.75083),51,51,3,5,22
ELIZABETH,HOFFMAN,NE,WB,0,26084000,ELIZABETH & HOFFMAN,,,,,,,POINT (-122.44068 37.751694),51,51,3,5,22
PARKRIDGE,BURNETT,NW,SB,0,26113000,PARKRIDGE & BURNETT,,,,,,,POINT (-122.44576 37.7505),51,51,7,5,38
HOPKINS,BURNETT,NE,WB,,26119000,HOPKINS AVE & BURNETT AVE,,,,,,,POINT (-122.444626 37.75313),51,51,7,5,38
HOFFMAN,ALVARADO,SE,NB,0,26098000,HOFFMAN & ALVARADO,,,,,,,POINT (-122.44084 37.7533),51,51,3,5,22
HOFFMAN,24TH ST,SE,NB,0,26083000,HOFFMAN & 24TH ST,,,,,,,POINT (-122.440605 37.750896),51,51,3,5,22
25TH ST,HOFFMAN,SW,EB,,26082000,25TH ST & HOFFMAN,,,,,,,POINT (-122.440445 37.749294),51,51,3,5,22
ELIZABETH,GRAND VIEW,NE,WB,0,26088000,ELIZABETH & GRAND VIEW,,,,,,,POINT (-122.442726 37.751568),51,51,3,5,22
GLENVIEW,BURNETT,SW,EB,,22346000,GLENVIEW DR & BURNETT AVE,20160517000000,,16-060,,,,POINT (-122.44501 37.748363),51,51,7,5,38
HOMESTEAD ST,25TH ST,NW,SB,0,26080000,HOMESTEAD ST & 25TH ST,20210604000000,,6418,I,21-02528,20210723000000,POINT (-122.43938 37.74936),51,51,3,5,22
24TH ST,FOUNTAIN,SW,EB,,26086000,24TH ST & FOUNTAIN,,,,,,,POINT (-122.44167 37.75083),51,51,3,5,22
HOPKINS,CORBETT,SW,EB,,26117000,HOPKINS AVE & CORBETT AVE,,,,I,19-8750,20200213000000,POINT (-122.44375 37.752743),51,51,7,5,38
DAWNVIEW,BURNETT,SW,EB,,22343000,DAWNVIEW WY & BURNETT AVE,20160517000000,,16-060,,,,POINT (-122.44498 37.748),51,51,7,5,38
23RD ST,HOFFMAN,SW,EB,,26085000,23RD ST & HOFFMAN AVE,,,,,,,POINT (-122.44076 37.752495),51,51,3,5,22
22ND ST,HOFFMAN,NE,WB,0,26099000,22ND ST & HOFFMAN AVE,,,,I,,,POINT (-122.44092 37.754097),51,51,3,5,22
ELIZABETH,HOFFMAN,SW,EB,0,26084000,ELIZABETH & HOFFMAN,,,,,,,POINT (-122.44068 37.751694),51,51,3,5,22
BURNETT,GARDENSIDE,NW,SB,,26118000,BURNETT & GARDENSIDE,,,,,,,POINT (-122.44525 37.75093),51,51,7,5,38
GRAND VIEW,ELIZABETH,SE,NB,,26088000,GRAND VIEW & ELIZABETH,,,,,,,POINT (-122.442726 37.751568),51,51,3,5,22
24TH ST,HOFFMAN,,EB,,26083000,,,,,,,,POINT (-122.440605 37.750896),51,51,3,5,22
HOPKINS,CORBETT,,EB,,,,,,,,,,POINT (-122.44251 37.75309),51,51,3,5,38
ALVARADO,HOFFMAN,SW,EB,0,26098000,ALVARADO ST & HOFFMAN AVE,,,,,,,POINT (-122.44084 37.7533),51,51,3,5,22
GLENVIEW,BURNETT,NE,WB,,22346000,GLENVIEW DR & BURNETT AVE,20160517000000,,16-060,,,,POINT (-122.44501 37.748363),51,51,7,5,38
HOMESTEAD,24TH ST,SE,NB,0,26081000,HOMESTEAD & 24TH ST,,,,,,,POINT (-122.43954 37.750957),51,51,3,5,22
25TH ST,GRAND VIEW,NE,WB,0,22324000,25TH ST & GRAND VIEW,,,,,,,POINT (-122.44259 37.749157),51,51,3,5,22
GRAND VIEW,ELIZABETH,NW,SB,,26088000,GRAND VIEW & ELIZABETH,,,,,,,POINT (-122.442726 37.751568),51,51,3,5,22
ALVARADO,HOFFMAN,NE,WB,0,26098000,ALVARADO ST & HOFFMAN AVE,,,,,,,POINT (-122.44084 37.7533),51,51,3,5,22
HOFFMAN,23RD ST,NW,SB,0,26085000,HOFFMAN & 23RD ST,,,,,,,POINT (-122.44076 37.752495),51,51,3,5,22
23RD ST,HOFFMAN,NE,WB,6E,26085000,23RD ST & HOFFMAN AVE,,,,,,,POINT (-122.44076 37.752495),51,51,3,5,22
25TH ST,GRAND VIEW,SW,EB,0,22324000,25TH ST & GRAND VIEW,,,,,,,POINT (-122.44259 37.749157),51,51,3,5,22
24TH ST,GRAND VIEW,NE,WB,0,26087000,24TH ST & GRAND VIEW,,,,,,,POINT (-122.44277 37.750767),51,51,3,5,22
HOFFMAN,23RD ST,SE,NB,0,26085000,HOFFMAN & 23RD ST,,,,,,,POINT (-122.44076 37.752495),51,51,3,5,22
CRESTLINE,BURNETT,SW,EB,0,22347000,CRESTLINE & BURNETT,,,,,,,POINT (-122.44479 37.74925),51,51,7,5,38
FOUNTAIN,24TH ST,SE,NB,,26086000,FOUNTAIN ST & 24TH ST,,,,,,,POINT (-122.44167 37.75083),51,51,3,5,22
FOUNTAIN,25TH ST,NW,SB,,22322000,FOUNTAIN ST & 25TH ST,20160816000000,,16-103,,,,POINT (-122.44153 37.749226),51,51,3,5,22
HOFFMAN,24TH ST,NW,SB,0,26083000,HOFFMAN & 24TH ST,,,,,,,POINT (-122.440605 37.750896),51,51,3,5,22
18TH ST,NOE,NE,WB,0,25791000,18TH ST & NOE,,,,,,,POINT (-122.43278 37.761017),52,52,3,5,5
CHURCH,24TH ST,SE,NB,0,25639000,CHURCH ST & 24TH ST,,,,,,,POINT (-122.42742 37.7517),52,52,3,5,22
21ST ST,CHURCH,SW,EB,0,25663000,21ST ST & CHURCH,,,,,,,POINT (-122.42788 37.75649),52,52,3,5,22
22ND ST,CHATTANOOGA,SW,EB,0,25656000,22ND ST & CHATTANOOGA ST,,,,I,,,POINT (-122.42662 37.75496),52,52,3,5,22
20TH ST,CHURCH,NE,WB,,25708000,20TH ST & CHURCH ST,,,,I,,,POINT (-122.42804 37.758083),52,52,3,5,5
JERSEY ST,DOLORES,SW,EB,0,25613000,JERSEY ST & DOLORES,,,,,,,POINT (-122.425064 37.75103),52,52,3,5,20
SANCHEZ,LIBERTY,NW,SB,,25714000,SANCHEZ ST & LIBERTY ST,,,,I,,,POINT (-122.430244 37.75715),52,52,3,5,5
21ST ST,CHATTANOOGA,,EB,,25661000,21ST ST & CHATTANOOGA,,,,,,,POINT (-122.42677 37.756557),52,52,3,5,22
DOLORES,21ST ST,SE,NB,0,25635000,DOLORES ST & 21ST ST,,,,I,,,POINT (-122.4256 37.756626),52,52,3,5,20
25TH ST,DOLORES,NE,WB,0,25610000,25TH ST & DOLORES,,,,,,,POINT (-122.42499 37.75023),52,52,3,5,20
SANCHEZ,HILL,NW,SB,,25668000,SANCHEZ ST & HILL ST,,,,I,,,POINT (-122.43002 37.75555),52,52,3,5,22
NOE,21ST ST,NW,SB,0,25749000,NOE & 21ST ST,,,,,,,POINT (-122.43232 37.75622),52,52,3,5,22
LIBERTY ST,NOE ST,SW,EB,,25784000,LIBERTY ST & NOE ST,20171003000000,,171003-122,,,,POINT (-122.432396 37.757015),52,52,3,5,5
SANCHEZ,LIBERTY,SE,NB,,25782000,SANCHEZ ST & LIBERTY ST,,,,I,,,POINT (-122.430664 37.75712),52,52,3,5,5
DOLORES,25TH ST,SE,NB,0,25610000,DOLORES ST & 25TH ST,,,,I,,,POINT (-122.42499 37.75023),52,52,3,5,20
NOE,18TH ST,SE,NB,0,25791000,NOE & 18TH ST,,,,,,,POINT (-122.43278 37.761017),52,52,3,5,5
23RD ST,CHATTANOOGA,SW,EB,0,25620000,23RD ST & CHATTANOOGA ST,,,,,,,POINT (-122.42647 37.753353),52,52,3,5,22
HILL ST,SANCHEZ ST,SW,EB,,25668000,HILL ST & SANCHEZ ST,,,,,,,POINT (-122.43002 37.75555),52,52,3,5,22
FAIR OAKS,26TH ST,NW,SB,,21903000,FAIR OAKS ST & 26TH ST,20160405000000,,16-036,,,,POINT (-122.42366 37.748707),52,52,3,5,20
ALVARADO,NOE,NE,WB,0,25746000,ALVARADO ST & NOE ST,,,,,,,POINT (-122.43209 37.75382),52,52,3,5,22
20TH ST,NOE,NW,SB,,25715000,20TH ST & NOE ST,,,,I,,,POINT (-122.43247 37.757816),52,52,3,5,5
LIBERTY ST,DOLORES,NE,WB,0,25670000,LIBERTY ST & DOLORES,,,,,,,POINT (-122.425674 37.757423),52,52,3,5,20
22ND ST,SANCHEZ,SW,EB,0,25667000,22ND ST & SANCHEZ ST,,,,I,,,POINT (-122.42995 37.754757),52,52,3,5,22
SANCHEZ,20TH ST,SE,NB,,25713000,SANCHEZ ST & 20TH ST,,,,I,,,POINT (-122.43025 37.75795),52,52,3,5,5
HANCOCK,SANCHEZ,NE,WB,0,25719000,HANCOCK & SANCHEZ,,,,,,,POINT (-122.43048 37.760353),52,52,3,5,5
21ST ST,SANCHEZ,SW,EB,,25669000,21ST ST & SANCHEZ,,,,,,,POINT (-122.4301 37.756355),52,52,3,5,22
18TH ST,NOE,SW,EB,0,25791000,18TH ST & NOE,,,,,,,POINT (-122.43278 37.761017),52,52,3,5,5
CHURCH,LIBERTY,SE,NB,,25678000,CHURCH ST & LIBERTY ST,,,,,,,POINT (-122.427956 37.757286),52,52,3,5,5
26TH ST,CHURCH,SW,EB,0,21917000,26TH ST & CHURCH ST,,,,,,,POINT (-122.42711 37.74849),52,52,3,5,22
19TH ST,NOE,NE,WB,,25787000,19TH ST & NOE ST,,,,,,,POINT (-122.432625 37.75942),52,52,3,5,5
19TH ST,SANCHEZ,NE,WB,0,25718000,19TH ST & SANCHEZ ST,,,,,,,POINT (-122.430405 37.759552),52,52,3,5,5
FAIR OAKS,23RD ST,NW,SB,0,25608000,FAIR OAKS ST & 23RD ST,,,,,,,POINT (-122.424126 37.753498),52,52,3,5,20
SANCHEZ,18TH ST,SE,NB,0,25720000,SANCHEZ ST & 18TH ST,,,,I,,,POINT (-122.43056 37.76115),52,52,3,5,5
24TH ST,CHURCH,NE,WB,0,25639000,24TH ST & CHURCH,,,,,,,POINT (-122.42742 37.7517),52,52,3,5,22
CHURCH,25TH ST,NW,SB,,25636000,CHURCH ST & 25TH ST,,,,,,,POINT (-122.42726 37.75009),52,52,3,5,22
CHURCH,21ST ST,NW,SB,0,25663000,CHURCH ST & 21ST ST,,,,,,,POINT (-122.42788 37.75649),52,52,3,5,22
